id,name,gender,nationality,wikipedia_url,wikidata_id,first_flight_rank,first_flight_date,first_flight_name,time_in_space_seconds,time_in_space_source,segment_count,is_currently_in_space
wikidata:Q7327,Yuri Gagarin,male,Soviet Union,https://en.wikipedia.org/wiki/Yuri_Gagarin,Q7327,1,12 April 1961,Vostok 1,6480,wikidata:P2873,1,0
wikidata:Q174979,Alan Shepard,male,United States,https://en.wikipedia.org/wiki/Alan_Shepard,Q174979,2,5 May 1961,Freedom 7,781020,wikidata:P2873,2,0
wikidata:Q110879,Virgil Grissom,male,United States,https://en.wikipedia.org/wiki/Gus_Grissom,Q110879,3,21 July 1961,Liberty Bell 7,18420,wikidata:P2873,2,0
wikidata:Q152298,Gherman Titov,male,Soviet Union,https://en.wikipedia.org/wiki/Gherman_Titov,Q152298,4,6 August 1961,Vostok 2,91080,wikidata:P2873,1,0
wikidata:Q182642,John Glenn,male,United States,https://en.wikipedia.org/wiki/John_Glenn,Q182642,5,20 February 1962,Friendship 7,804840,wikidata:P2873,2,0
wikidata:Q335503,Scott Carpenter,male,United States,https://en.wikipedia.org/wiki/Scott_Carpenter,Q335503,6,24 May 1962,Aurora 7,17760,wikidata:P2873,1,0
wikidata:Q312474,Andriyan Nikolayev,male,Soviet Union,https://en.wikipedia.org/wiki/Andriyan_Nikolayev,Q312474,7,11 August 1962,Vostok 3,1869600,wikidata:P2873,2,0
wikidata:Q118490,Pavel Popovich,male,Soviet Union,https://en.wikipedia.org/wiki/Pavel_Popovich,Q118490,8,12 August 1962,Vostok 4,1614420,wikidata:P2873,2,0
wikidata:Q110450,Walter Schirra,male,United States,https://en.wikipedia.org/wiki/Wally_Schirra,Q110450,9,3 October 1962,Sigma 7,1062720,wikidata:P2873,3,0
wikidata:Q312833,Gordon Cooper,male,United States,https://en.wikipedia.org/wiki/Gordon_Cooper,Q312833,10,15 May 1963,Faith 7,810840,wikidata:P2873,2,0
wikidata:Q159681,Valery Bykovsky,male,Soviet Union,https://en.wikipedia.org/wiki/Valery_Bykovsky,Q159681,11,14 June 1963,Vostok 5,1792080,wikidata:P2873,3,0
wikidata:Q44371,Valentina Tereshkova,female,Soviet Union,https://en.wikipedia.org/wiki/Valentina_Tereshkova,Q44371,12,16 June 1963,Vostok 6,256320,wikidata:P2873,1,0
wikidata:Q708395,Joseph Walker,male,United States,https://en.wikipedia.org/wiki/Joseph_A._Walker,Q708395,13,19 July 1963,X-15 Flight 90,1320,wikidata:P2873,2,0
wikidata:Q352137,Boris Yegorov,male,Soviet Union,https://en.wikipedia.org/wiki/Boris_Yegorov,Q352137,14,12 October 1964,Voskhod 1,87420,wikidata:P2873,1,0
wikidata:Q320068,Konstantin Feoktistov,male,Soviet Union,https://en.wikipedia.org/wiki/Konstantin_Feoktistov,Q320068,14,12 October 1964,Voskhod 1,87420,wikidata:P2873,1,0
wikidata:Q104865,Vladimir Komarov,male,Soviet Union,https://en.wikipedia.org/wiki/Vladimir_Komarov,Q104865,14,12 October 1964,Voskhod 1,183840,wikidata:P2873,2,0
wikidata:Q154269,Alexei Leonov,male,Soviet Union,https://en.wikipedia.org/wiki/Alexei_Leonov,Q154269,17,18 March 1965,Voskhod 2,606720,wikidata:P2873,2,0
wikidata:Q157931,Pavel Belyayev,male,Soviet Union,https://en.wikipedia.org/wiki/Pavel_Belyayev,Q157931,17,18 March 1965,Voskhod 2,93720,wikidata:P2873,1,0
wikidata:Q107667,John Young,male,United States,https://en.wikipedia.org/wiki/John_Young_(astronaut),Q107667,19,23 March 1965,Gemini 3,3008340,wikidata:P2873,6,0
wikidata:Q216726,Edward White,male,United States,https://en.wikipedia.org/wiki/Ed_White_(astronaut),Q216726,20,3 June 1965,Gemini 4,352560,wikidata:P2873,1,0
wikidata:Q364476,James McDivitt,male,United States,https://en.wikipedia.org/wiki/James_McDivitt,Q364476,20,3 June 1965,Gemini 4,1220160,wikidata:P2873,2,0
wikidata:Q213076,Pete Conrad,male,United States,https://en.wikipedia.org/wiki/Pete_Conrad,Q213076,22,21 August 1965,Gemini 5,4246680,wikidata:P2873,4,0
wikidata:Q18762,Frank Borman,male,United States,https://en.wikipedia.org/wiki/Frank_Borman,Q18762,23,4 December 1965,Gemini 7,1719300,wikidata:P2873,2,0
wikidata:Q111240,James Lovell,male,United States,https://en.wikipedia.org/wiki/Jim_Lovell,Q111240,23,4 December 1965,Gemini 7,2574180,wikidata:P2873,4,0
wikidata:Q316417,Thomas Stafford,male,United States,https://en.wikipedia.org/wiki/Thomas_P._Stafford,Q316417,25,15 December 1965,Gemini 6A,1827720,wikidata:P2873,3,0
wikidata:Q278656,David Scott,male,United States,https://en.wikipedia.org/wiki/David_Scott,Q278656,26,16 March 1966,Gemini 8,1968780,wikidata:P2873,3,0
wikidata:Q1615,Neil Armstrong,male,United States,https://en.wikipedia.org/wiki/Neil_Armstrong,Q1615,26,16 March 1966,Gemini 8,742350,wikidata:P2873,2,0
wikipedia-first-flight:28:eugene-cernan,Eugene Cernan,,United States,https://en.wikipedia.org/wiki/Eugene_Cernan,,28,3 June 1966,Gemini 9A,260450,computed_from_segments,1,0
wikidata:Q104859,Michael Collins,male,United States,https://en.wikipedia.org/wiki/Michael_Collins_(astronaut),Q104859,29,18 July 1966,Gemini 10,957883,wikidata:P2873,2,0
wikidata:Q502963,Richard Gordon,male,United States,https://en.wikipedia.org/wiki/Richard_F._Gordon_Jr.,Q502963,30,12 September 1966,Gemini 11,1137180,wikidata:P2873,2,0
wikidata:Q2252,Edwin Aldrin,male,United States,https://en.wikipedia.org/wiki/Buzz_Aldrin,Q2252,31,11 November 1966,Gemini 12,1043520,wikidata:P2873,2,0
wikidata:Q449706,Donn Eisele,male,United States,https://en.wikipedia.org/wiki/Donn_F._Eisele,Q449706,32,11 October 1968,Apollo 7,936480,wikidata:P2873,1,0
wikidata:Q372215,Walter Cunningham,male,United States,https://en.wikipedia.org/wiki/Walter_Cunningham,Q372215,32,11 October 1968,Apollo 7,936480,wikidata:P2873,1,0
wikidata:Q364451,Georgy Beregovoy,male,Soviet Union,https://en.wikipedia.org/wiki/Georgy_Beregovoy,Q364451,34,26 October 1968,Soyuz 3,341400,wikidata:P2873,1,0
wikidata:Q19242,William Anders,male,United States,https://en.wikipedia.org/wiki/William_Anders,Q19242,35,21 December 1968,Apollo 8,529200,wikidata:P2873,1,0
wikidata:Q313399,Vladimir Shatalov,male,Soviet Union,https://en.wikipedia.org/wiki/Vladimir_Shatalov,Q313399,36,14 January 1969,Soyuz 4,856500,wikidata:P2873,3,0
wikidata:Q381541,Aleksei Yeliseyev,male,Soviet Union,https://en.wikipedia.org/wiki/Aleksei_Yeliseyev,Q381541,37,15 January 1969,Soyuz 5,771600,wikidata:P2873,3,0
wikidata:Q448538,Boris Volynov,male,Soviet Union,https://en.wikipedia.org/wiki/Boris_Volynov,Q448538,37,15 January 1969,Soyuz 5,4519020,wikidata:P2873,2,0
wikidata:Q455669,Yevgeny Khrunov,male,Soviet Union,https://en.wikipedia.org/wiki/Yevgeny_Khrunov,Q455669,37,15 January 1969,Soyuz 5,171900,wikidata:P2873,1,0
wikidata:Q363506,Russell Schweickart,male,United States,https://en.wikipedia.org/wiki/Rusty_Schweickart,Q363506,40,3 March 1969,Apollo 9,867600,wikidata:P2873,1,0
