astronaut_id,name,segment_index,start_at,start_unix,end_at,end_unix,duration_seconds,is_current
wikidata:Q7327,Yuri Gagarin,1,1961-04-12T06:07:00Z,-275248380,1961-04-12T07:55:00Z,-275241900,6480,0
wikidata:Q174979,Alan Shepard,1,1961-05-05T14:34:13Z,-273230747,1961-05-05T14:49:35Z,-273229825,922,0
wikidata:Q174979,Alan Shepard,2,1971-01-31T21:03:02Z,34203782,1971-02-05T09:18:11Z,34593491,389709,0
wikidata:Q110879,Virgil Grissom,1,1961-07-21T12:20:36Z,-266585964,1961-07-21T12:36:13Z,-266585027,937,0
wikidata:Q110879,Virgil Grissom,2,1965-03-23T14:24:00Z,-150716160,1965-03-23T19:16:31Z,-150698609,17551,0
wikidata:Q152298,Gherman Titov,1,1961-08-06T06:00:00Z,-265226400,1961-08-07T07:18:00Z,-265135320,91080,0
wikidata:Q182642,John Glenn,1,1962-02-20T14:47:39Z,-248087541,1962-02-20T19:43:02Z,-248069818,17723,0
wikidata:Q182642,John Glenn,2,1998-10-29T19:19:34Z,909688774,1998-11-07T17:04:00Z,910458240,769466,0
wikidata:Q335503,Scott Carpenter,1,1962-05-24T12:45:16Z,-240059684,1962-05-24T17:41:21Z,-240041919,17765,0
wikidata:Q312474,Andriyan Nikolayev,1,1962-08-11T00:00:00Z,-233280000,1962-08-15T00:00:00Z,-232934400,345600,0
wikidata:Q312474,Andriyan Nikolayev,2,1970-06-01T19:00:00Z,13114800,1970-06-19T11:58:55Z,14644735,1529935,0
wikidata:Q118490,Pavel Popovich,1,1962-08-12T00:00:00Z,-233193600,1962-08-15T00:00:00Z,-232934400,259200,0
wikidata:Q118490,Pavel Popovich,2,1974-07-03T18:51:08Z,142109468,1974-07-19T12:21:36Z,143468496,1359028,0
wikidata:Q110450,Walter Schirra,1,1962-10-03T12:15:12Z,-228656688,1962-10-03T21:28:22Z,-228623498,33190,0
wikidata:Q110450,Walter Schirra,2,1965-12-15T13:37:26Z,-127650154,1965-12-16T15:28:50Z,-127557070,93084,0
wikidata:Q110450,Walter Schirra,3,1968-10-11T15:02:45Z,-38566635,1968-10-22T11:11:48Z,-37630092,936543,0
wikidata:Q312833,Gordon Cooper,1,1963-05-15T13:04:13Z,-209300147,1963-05-16T23:24:02Z,-209176558,123589,0
wikidata:Q312833,Gordon Cooper,2,1965-08-21T13:59:59Z,-137671201,1965-08-29T12:55:13Z,-136983887,687314,0
wikidata:Q159681,Valery Bykovsky,1,1963-06-14T11:58:58Z,-206712062,1963-06-19T11:06:00Z,-206283240,428822,0
wikidata:Q159681,Valery Bykovsky,2,1976-09-15T09:48:30Z,211628910,1976-09-23T07:40:47Z,212312447,683537,0
wikidata:Q159681,Valery Bykovsky,3,1978-06-15T20:16:45Z,266789805,1978-11-02T11:04:17Z,278852657,12062852,0
wikidata:Q44371,Valentina Tereshkova,1,1963-06-16T09:29:52Z,-206548208,1963-06-19T08:20:00Z,-206293200,255008,0
wikidata:Q708395,Joseph Walker,1,1963-07-19T18:20:05Z,-203665195,1963-07-19T18:31:29Z,-203664511,684,0
wikidata:Q708395,Joseph Walker,2,1963-08-22T18:05:57Z,-200728443,1963-08-22T18:17:05Z,-200727775,668,0
wikidata:Q352137,Boris Yegorov,1,1964-10-12T07:30:01Z,-164737799,1964-10-13T07:47:04Z,-164650376,87423,0
wikidata:Q320068,Konstantin Feoktistov,1,1964-10-12T07:30:01Z,-164737799,1964-10-13T07:47:04Z,-164650376,87423,0
wikidata:Q104865,Vladimir Komarov,1,1964-10-12T07:30:01Z,-164737799,1964-10-13T07:47:04Z,-164650376,87423,0
wikidata:Q104865,Vladimir Komarov,2,1967-04-23T00:35:00Z,-85015500,1967-04-24T03:22:52Z,-84919028,96472,0
wikidata:Q154269,Alexei Leonov,1,1965-03-18T07:00:00Z,-151174800,1965-03-19T09:02:17Z,-151081063,93737,0
wikidata:Q154269,Alexei Leonov,2,1975-07-15T00:00:00Z,174614400,1975-07-21T00:00:00Z,175132800,518400,0
wikidata:Q157931,Pavel Belyayev,1,1965-03-18T07:00:00Z,-151174800,1965-03-19T09:02:17Z,-151081063,93737,0
wikidata:Q107667,John Young,1,1965-03-23T14:24:00Z,-150716160,1965-03-23T19:16:31Z,-150698609,17551,0
wikidata:Q107667,John Young,2,1966-07-18T22:20:26Z,-109042774,1966-07-21T21:07:05Z,-108787975,254799,0
wikidata:Q107667,John Young,3,1969-05-18T16:49:00Z,-19638660,1969-05-26T16:52:23Z,-18947257,691403,0
wikidata:Q107667,John Young,4,1972-04-16T17:54:00Z,72294840,1972-04-21T02:23:35Z,72671015,376175,0
wikidata:Q107667,John Young,5,1981-04-12T12:00:04Z,355924804,1981-04-14T18:20:57Z,356120457,195653,0
wikidata:Q107667,John Young,6,1983-11-28T16:00:00Z,438883200,1983-12-08T23:47:24Z,439775244,892044,0
wikidata:Q216726,Edward White,1,1965-06-03T15:15:59Z,-144492241,1965-06-07T17:12:11Z,-144139669,352572,0
wikidata:Q364476,James McDivitt,1,1965-06-03T15:15:59Z,-144492241,1965-06-07T17:12:11Z,-144139669,352572,0
wikidata:Q364476,James McDivitt,2,1969-03-03T16:00:00Z,-26208000,1969-03-13T17:00:54Z,-25340346,867654,0
wikidata:Q213076,Pete Conrad,1,1965-08-21T13:59:59Z,-137671201,1965-08-29T12:55:13Z,-136983887,687314,0
wikidata:Q213076,Pete Conrad,2,1966-09-12T14:42:26Z,-104231854,1966-09-15T13:59:35Z,-103975225,256629,0
wikidata:Q213076,Pete Conrad,3,1969-11-14T16:22:00Z,-4088280,1969-11-19T06:54:35Z,-3690325,397955,0
wikidata:Q213076,Pete Conrad,4,1973-05-25T13:00:00Z,107182800,1973-06-22T13:49:48Z,109604988,2422188,0
wikidata:Q18762,Frank Borman,1,1965-12-04T19:30:03Z,-128579397,1965-12-18T14:05:04Z,-127389296,1190101,0
wikidata:Q18762,Frank Borman,2,1968-12-21T12:51:00Z,-32440140,1968-12-27T15:51:42Z,-31910898,529242,0
wikidata:Q111240,James Lovell,1,1965-12-04T19:30:03Z,-128579397,1965-12-18T14:05:04Z,-127389296,1190101,0
wikidata:Q111240,James Lovell,2,1966-11-11T20:46:33Z,-99026007,1966-11-15T19:21:04Z,-98685536,340471,0
wikidata:Q111240,James Lovell,3,1968-12-21T12:51:00Z,-32440140,1968-12-27T15:51:42Z,-31910898,529242,0
wikidata:Q111240,James Lovell,4,1970-04-11T19:13:00Z,8709180,1970-04-17T18:07:41Z,9223661,514481,0
wikidata:Q316417,Thomas Stafford,1,1965-12-15T13:37:26Z,-127650154,1965-12-16T15:28:50Z,-127557070,93084,0
wikidata:Q316417,Thomas Stafford,2,1966-06-03T13:39:33Z,-112962027,1966-06-06T14:00:23Z,-112701577,260450,0
wikidata:Q316417,Thomas Stafford,3,1969-05-18T16:49:00Z,-19638660,1969-05-26T16:52:23Z,-18947257,691403,0
wikidata:Q278656,David Scott,1,1966-03-16T16:41:02Z,-119776738,1966-03-17T03:22:28Z,-119738252,38486,0
wikidata:Q278656,David Scott,2,1969-03-03T16:00:00Z,-26208000,1969-03-13T17:00:54Z,-25340346,867654,0
wikidata:Q278656,David Scott,3,1971-07-26T13:34:00Z,49383240,1971-07-30T22:16:29Z,49760189,376949,0
wikidata:Q1615,Neil Armstrong,1,1966-03-16T16:41:02Z,-119776738,1966-03-17T03:22:28Z,-119738252,38486,0
wikidata:Q1615,Neil Armstrong,2,1969-07-16T13:32:00Z,-14552880,1969-07-20T20:17:40Z,-14182940,369940,0
wikipedia-first-flight:28:eugene-cernan,Eugene Cernan,1,1966-06-03T13:39:33Z,-112962027,1966-06-06T14:00:23Z,-112701577,260450,0
wikidata:Q104859,Michael Collins,1,1966-07-18T22:20:26Z,-109042774,1966-07-21T21:07:05Z,-108787975,254799,0
wikidata:Q104859,Michael Collins,2,1969-07-16T13:32:00Z,-14552880,1969-07-20T20:17:40Z,-14182940,369940,0
wikidata:Q502963,Richard Gordon,1,1966-09-12T14:42:26Z,-104231854,1966-09-15T13:59:35Z,-103975225,256629,0
wikidata:Q502963,Richard Gordon,2,1969-11-14T16:22:00Z,-4088280,1969-11-19T06:54:35Z,-3690325,397955,0
wikidata:Q2252,Edwin Aldrin,1,1966-11-11T20:46:33Z,-99026007,1966-11-15T19:21:04Z,-98685536,340471,0
wikidata:Q2252,Edwin Aldrin,2,1969-07-16T13:32:00Z,-14552880,1969-07-20T20:17:40Z,-14182940,369940,0
wikidata:Q449706,Donn Eisele,1,1968-10-11T15:02:45Z,-38566635,1968-10-22T11:11:48Z,-37630092,936543,0
wikidata:Q372215,Walter Cunningham,1,1968-10-11T15:02:45Z,-38566635,1968-10-22T11:11:48Z,-37630092,936543,0
wikidata:Q364451,Georgy Beregovoy,1,1968-10-26T08:34:18Z,-37293942,1968-10-30T07:25:03Z,-36952497,341445,0
wikidata:Q19242,William Anders,1,1968-12-21T12:51:00Z,-32440140,1968-12-27T15:51:42Z,-31910898,529242,0
wikidata:Q313399,Vladimir Shatalov,1,1969-01-14T07:30:00Z,-30385800,1969-01-17T06:50:47Z,-30128953,256847,0
wikidata:Q313399,Vladimir Shatalov,2,1969-10-13T10:19:09Z,-6874851,1969-10-18T09:09:58Z,-6447002,427849,0
wikidata:Q313399,Vladimir Shatalov,3,1971-04-22T23:54:06Z,41212446,1971-04-24T23:40:00Z,41384400,171954,0
